,LOCATION,TIME,Value
780,KOR,2011,779717.236047428
781,KOR,2012,806957.100361546
782,KOR,2013,776381.144025086
783,KOR,2014,784575.074732955
784,KOR,2015,838625.548298597
785,KOR,2016,863190.932298729
786,KOR,2017,879764.075931436
787,KOR,2018,929837.843738371
788,KOR,2019,940670.856071386
789,KOR,2020,916764.252800209
790,KOR,2021,960309.079946199
791,LUX,1970,879.0168786781
792,LUX,1971,967.842931633164
793,LUX,1972,1049.34947789995
794,LUX,1973,1169.50190826196
795,LUX,1974,1349.3516172093
796,LUX,1975,1538.93007872834
797,LUX,1976,1674.31610697324
798,LUX,1977,1823.97615550643
799,LUX,1978,2008.43500253647
800,LUX,1979,2264.10659031547
801,LUX,1980,2578.44973833546
802,LUX,1981,2858.3056960352
803,LUX,1982,3028.96127539835
804,LUX,1983,3173.35286022061
805,LUX,1984,3340.8112033815
806,LUX,1985,3550.67790305684
807,LUX,1986,3746.41774709347
808,LUX,1987,4038.87499435269
809,LUX,1988,4447.43426025279
810,LUX,1989,4865.99253240033
811,LUX,1990,5271.52592230895
812,LUX,1991,5830.4274260405
813,LUX,1992,5846.40069090717
814,LUX,1993,6115.11935812349
815,LUX,1994,6495.16259455101
816,LUX,1995,6756.54837319865
817,LUX,1996,7113.1275241969
818,LUX,1997,7554.33331550969
819,LUX,1998,8169.01339846268
820,LUX,1999,8925.25799739911
821,LUX,2000,9747.78969307465
822,LUX,2001,10175.6970920558
823,LUX,2002,11004.6847509194
824,LUX,2003,11531.8021217005
825,LUX,2004,11698.4571311174
826,LUX,2005,12052.7619597859
827,LUX,2006,13070.0776003468
828,LUX,2007,13351.3463861183
829,LUX,2008,14261.4563235549
830,LUX,2009,14295.819393572
831,LUX,2010,14911.9572971928
832,LUX,2011,15742.980934693
833,LUX,2012,16378.8086811326
834,LUX,2013,16931.794295135
835,LUX,2014,17412.7441809443
836,LUX,2015,18029.270637263
837,LUX,2016,19035.9132340132
838,LUX,2017,19985.870857485
839,LUX,2018,21549.4156657188
840,LUX,2019,22049.2403663138
841,LUX,2020,19813.2041800094
842,LUX,2021,21896.9456803511
843,MEX,1970,62391.0306050812
844,MEX,1971,68441.2201425511
845,MEX,1972,75553.3445687519
846,MEX,1973,84900.7902268561
847,MEX,1974,98574.9632777698
848,MEX,1975,112892.610015846
849,MEX,1976,124490.627031778
850,MEX,1977,135294.796868247
851,MEX,1978,156500.876233181
852,MEX,1979,185475.251083371
853,MEX,1980,220939.980439673
854,MEX,1981,258481.492626969
855,MEX,1982,266095.056753792
856,MEX,1983,262547.005458661
857,MEX,1984,281337.100860586
858,MEX,1985,301519.481147073
859,MEX,1986,299348.992592641
860,MEX,1987,308162.516803625
861,MEX,1988,326012.926134064
862,MEX,1989,365030.485005029
863,MEX,1990,405552.80297027
864,MEX,1991,438721.148696536
865,MEX,1992,471490.392145025
866,MEX,1993,450724.129938236
867,MEX,1994,484525.489144714
868,MEX,1995,465648.06070278
869,MEX,1996,497164.513861988
870,MEX,1997,543658.916409171
871,MEX,1998,583127.56738073
872,MEX,1999,620220.940809428
873,MEX,2000,673625.806480314
874,MEX,2001,704353.983906616
875,MEX,2002,717590.328006746
876,MEX,2003,752444.123139739
877,MEX,2004,807914.08600354
878,MEX,2005,858050.260069896
879,MEX,2006,923827.005160216
880,MEX,2007,971309.497073352
881,MEX,2008,1013502.73381897
882,MEX,2009,949412.789192873
883,MEX,2010,1001125.78440906
884,MEX,2011,1063092.80228766
885,MEX,2012,1109991.28961648
886,MEX,2013,1178453.14149593
887,MEX,2014,1231101.26282605
888,MEX,2015,1287779.30099069
889,MEX,2016,1394196.43736604
890,MEX,2017,1411418.05730612
891,MEX,2018,1472095.78086797
892,MEX,2019,1453231.26679959
893,MEX,2020,1283972.15681944
894,MEX,2021,1423051.96364838
895,NLD,1970,30708.9145493705
896,NLD,1971,33023.1478714387
897,NLD,1972,35037.5255125924
898,NLD,1973,38628.1491702049
899,NLD,1974,44012.3374886028
900,NLD,1975,49114.4933642037
901,NLD,1976,54670.2808901998
902,NLD,1977,60627.3575913333
903,NLD,1978,67834.7095721917
904,NLD,1979,74803.890902926
905,NLD,1980,82790.5469986517
906,NLD,1981,88055.3660810197
907,NLD,1982,91602.6026666563
